"participant","gn_pid","gn_siteid","Query","NumTrials","accuracy","AccPass","SpecificityPass","AccCumul","SpecificityCumul","KnowerLevel"
"MMCLab_MMCCT015","MMCCT015","MMCLab",1,3,1,1,1,1,1,"5-knower"
"MMCLab_MMCCT015","MMCCT015","MMCLab",2,3,1,1,1,1,1,"5-knower"
"MMCLab_MMCCT015","MMCCT015","MMCLab",3,3,1,1,1,1,1,"5-knower"
"MMCLab_MMCCT015","MMCCT015","MMCLab",4,3,0.666666666666667,1,1,1,1,"5-knower"
"MMCLab_MMCCT015","MMCCT015","MMCLab",5,3,1,1,1,1,1,"5-knower"
"MMCLab_MMCCT015","MMCCT015","MMCLab",6,3,0.333333333333333,0,1,0,1,"5-knower"
"MMCLab_MMCCT015","MMCCT015","MMCLab",8,3,1,1,1,0,1,"5-knower"
"MMCLab_MMCCT015","MMCCT015","MMCLab",10,3,0.333333333333333,0,1,0,1,"5-knower"
